region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,1856,3.25 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,249,0.44 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,115,0.2 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,115,0.2 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,2657,4.65 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,303,0.53 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,143,0.25 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,238,0.42 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,2302,4.03 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,1274,2.23 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,1901,3.33 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,1094,1.91 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,313,0.55 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,70,0.12 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,123,0.22 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,338,0.59 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,296,0.52 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,1705,2.98 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,99,0.17 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,274,0.48 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,316,0.55 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,2882,5.04 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,80,0.14 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,128,0.22 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,590,1.03 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,76,0.13 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,69,0.12 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,4164,7.28 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,129,0.23 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,866,1.51 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,738,1.29 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,88,0.15 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,2266,3.96 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,971,1.7 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,35,"LAPID, LITO",NPC,1931,3.38 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,36,"LEE, MANOY WILBERT",AKSYON,61,0.11 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,37,"LIDASAN, AMIRAH",MKBYN,46,0.08 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,38,"MARCOLETA, RODANTE",IND,1453,2.54 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,39,"MARCOS, IMEE R.",NP,2263,3.96 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,40,"MARQUEZ, NORMAN",IND,119,0.21 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,41,"MARTINEZ, ERIC",IND,158,0.28 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,42,"MATA, DOC MARITES",IND,607,1.06 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,43,"MATULA, ATTY. SONNY",WPP,319,0.56 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,44,"MAZA, LIZA",MKBYN,260,0.45 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,45,"MENDOZA, HEIDI",IND,770,1.35 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,46,"MONTEMAYOR, JOEY",IND,93,0.16 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,47,"MUSTAPHA, SUBAIR",WPP,134,0.23 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,48,"OLIVAR, JOSE JESSIE",IND,73,0.13 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,49,"ONG, DOC WILLIE",AKSYON,1092,1.91 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,50,"PACQUIAO, MANNY PACMAN",PFP,1483,2.59 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,51,"PANGILINAN, KIKO",LP,1941,3.4 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,52,"QUERUBIN, ARIEL PORFIRIO",NP,639,1.12 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,53,"QUIBOLOY, APOLLO",IND,594,1.04 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,54,"RAMOS, DANILO",MKBYN,339,0.59 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,55,"REVILLAME, WILLIE WIL",IND,1539,2.69 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,56,"RODRIGUEZ, ATTY. VIC",IND,987,1.73 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,57,"SAHIDULLA, NUR-ANA",IND,62,0.11 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,58,"SALVADOR, PHILLIP IPE",PDPLBN,1305,2.28 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,59,"SOTTO, TITO",NPC,2659,4.65 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,60,"TAPADO, MICHAEL BONGBONG",PM,104,0.18 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,61,"TOLENTINO, FRANCIS TOL",PFP,826,1.44 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,62,"TULFO, BEN BITAG",IND,1858,3.25 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,63,"TULFO, ERWIN",LAKAS,2552,4.46 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,64,"VALBUENA, MAR MANIBELA",IND,83,0.15 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,65,"VERCELES, LEANDRO",IND,40,0.07 %
REGION VIII,LEYTE,MAYORGA,SENATOR of PHILIPPINES,66,"VILLAR, CAMILLE",NP,1947,3.41 %
REGION VIII,LEYTE,MAYORGA,PARTY LIST of PHILIPPINES,,1 4PS,,239,3.45 %
REGION VIII,LEYTE,MAYORGA,PARTY LIST of PHILIPPINES,,2 PPP,,14,0.2 %
REGION VIII,LEYTE,MAYORGA,PARTY LIST of PHILIPPINES,,3 FPJ PANDAY BAYANIHAN,,6,0.09 %
REGION VIII,LEYTE,MAYORGA,PARTY LIST of PHILIPPINES,,4 KABATAAN,,21,0.3 %
REGION VIII,LEYTE,MAYORGA,PARTY LIST of PHILIPPINES,,5 DUTERTE YOUTH,,264,3.81 %
REGION VIII,LEYTE,MAYORGA,PARTY LIST of PHILIPPINES,,6 ML,,18,0.26 %
REGION VIII,LEYTE,MAYORGA,PARTY LIST of PHILIPPINES,,7 PBBM,,6,0.09 %
REGION VIII,LEYTE,MAYORGA,PARTY LIST of PHILIPPINES,,8 P3PWD,,2,0.03 %
REGION VIII,LEYTE,MAYORGA,PARTY LIST of PHILIPPINES,,9 MURANG KURYENTE,,11,0.16 %
REGION VIII,LEYTE,MAYORGA,PARTY LIST of PHILIPPINES,,10 BICOL SARO,,3,0.04 %
REGION VIII,LEYTE,MAYORGA,PARTY LIST of PHILIPPINES,,11 IPATUPAD,,4,0.06 %
REGION VIII,LEYTE,MAYORGA,PARTY LIST of PHILIPPINES,,12 PATROL,,2,0.03 %
REGION VIII,LEYTE,MAYORGA,PARTY LIST of PHILIPPINES,,13 JUAN PINOY,,0,0 %
REGION VIII,LEYTE,MAYORGA,PARTY LIST of PHILIPPINES,,14 ARTE,,1,0.01 %
REGION VIII,LEYTE,MAYORGA,PARTY LIST of PHILIPPINES,,15 WIFI,,7,0.1 %
