region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-B,ROMBLON,CAJIDIOCAN,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,2205,2.85 %
REGION IV-B,ROMBLON,CAJIDIOCAN,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,126,0.16 %
REGION IV-B,ROMBLON,CAJIDIOCAN,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,140,0.18 %
REGION IV-B,ROMBLON,CAJIDIOCAN,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,138,0.18 %
REGION IV-B,ROMBLON,CAJIDIOCAN,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,3757,4.85 %
REGION IV-B,ROMBLON,CAJIDIOCAN,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,369,0.48 %
REGION IV-B,ROMBLON,CAJIDIOCAN,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,203,0.26 %
REGION IV-B,ROMBLON,CAJIDIOCAN,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,249,0.32 %
REGION IV-B,ROMBLON,CAJIDIOCAN,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,3206,4.14 %
REGION IV-B,ROMBLON,CAJIDIOCAN,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,954,1.23 %
REGION IV-B,ROMBLON,CAJIDIOCAN,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,3064,3.95 %
REGION IV-B,ROMBLON,CAJIDIOCAN,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,1466,1.89 %
REGION IV-B,ROMBLON,CAJIDIOCAN,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,409,0.53 %
REGION IV-B,ROMBLON,CAJIDIOCAN,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,100,0.13 %
REGION IV-B,ROMBLON,CAJIDIOCAN,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,147,0.19 %
REGION IV-B,ROMBLON,CAJIDIOCAN,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,485,0.63 %
REGION IV-B,ROMBLON,CAJIDIOCAN,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,505,0.65 %
REGION IV-B,ROMBLON,CAJIDIOCAN,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,3141,4.05 %
REGION IV-B,ROMBLON,CAJIDIOCAN,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,170,0.22 %
