region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,15240,2.65 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,792,0.14 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,526,0.09 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,1036,0.18 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,37174,6.45 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,5724,0.99 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,988,0.17 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,3355,0.58 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,16797,2.92 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,6263,1.09 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,16351,2.84 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,19986,3.47 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,6883,1.19 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,388,0.07 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,742,0.13 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,7593,1.32 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,5881,1.02 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,23361,4.05 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,767,0.13 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,3447,0.6 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,7868,1.37 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,18307,3.18 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,872,0.15 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,728,0.13 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,10873,1.89 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,734,0.13 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,608,0.11 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,30420,5.28 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,1007,0.17 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,3379,0.59 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,10258,1.78 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,562,0.1 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,26776,4.65 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,3964,0.69 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,35,"LAPID, LITO",NPC,20912,3.63 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,36,"LEE, MANOY WILBERT",AKSYON,599,0.1 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,37,"LIDASAN, AMIRAH",MKBYN,705,0.12 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,38,"MARCOLETA, RODANTE",IND,14479,2.51 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,39,"MARCOS, IMEE R.",NP,13672,2.37 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,40,"MARQUEZ, NORMAN",IND,1400,0.24 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,41,"MARTINEZ, ERIC",IND,947,0.16 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,42,"MATA, DOC MARITES",IND,2998,0.52 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,43,"MATULA, ATTY. SONNY",WPP,5833,1.01 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,44,"MAZA, LIZA",MKBYN,6185,1.07 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,45,"MENDOZA, HEIDI",IND,17809,3.09 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,46,"MONTEMAYOR, JOEY",IND,933,0.16 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,47,"MUSTAPHA, SUBAIR",WPP,335,0.06 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,48,"OLIVAR, JOSE JESSIE",IND,509,0.09 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,49,"ONG, DOC WILLIE",AKSYON,12287,2.13 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,50,"PACQUIAO, MANNY PACMAN",PFP,17948,3.12 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,51,"PANGILINAN, KIKO",LP,29925,5.19 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,52,"QUERUBIN, ARIEL PORFIRIO",NP,4765,0.83 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,53,"QUIBOLOY, APOLLO",IND,2544,0.44 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,54,"RAMOS, DANILO",MKBYN,6087,1.06 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,55,"REVILLAME, WILLIE WIL",IND,12367,2.15 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,56,"RODRIGUEZ, ATTY. VIC",IND,5156,0.89 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,57,"SAHIDULLA, NUR-ANA",IND,333,0.06 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,58,"SALVADOR, PHILLIP IPE",PDPLBN,7736,1.34 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,59,"SOTTO, TITO",NPC,23237,4.03 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,60,"TAPADO, MICHAEL BONGBONG",PM,456,0.08 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,61,"TOLENTINO, FRANCIS TOL",PFP,14354,2.49 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,62,"TULFO, BEN BITAG",IND,19288,3.35 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,63,"TULFO, ERWIN",LAKAS,26714,4.64 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,64,"VALBUENA, MAR MANIBELA",IND,908,0.16 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,65,"VERCELES, LEANDRO",IND,290,0.05 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,SENATOR of PHILIPPINES,66,"VILLAR, CAMILLE",NP,14808,2.57 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,PARTY LIST of PHILIPPINES,,1 4PS,,1607,2.64 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,PARTY LIST of PHILIPPINES,,2 PPP,,195,0.32 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,PARTY LIST of PHILIPPINES,,3 FPJ PANDAY BAYANIHAN,,7077,11.63 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,PARTY LIST of PHILIPPINES,,4 KABATAAN,,447,0.73 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,PARTY LIST of PHILIPPINES,,5 DUTERTE YOUTH,,1644,2.7 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,PARTY LIST of PHILIPPINES,,6 ML,,707,1.16 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,PARTY LIST of PHILIPPINES,,7 PBBM,,142,0.23 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,PARTY LIST of PHILIPPINES,,8 P3PWD,,206,0.34 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,PARTY LIST of PHILIPPINES,,9 MURANG KURYENTE,,416,0.68 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,PARTY LIST of PHILIPPINES,,10 BICOL SARO,,100,0.16 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,PARTY LIST of PHILIPPINES,,11 IPATUPAD,,245,0.4 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,PARTY LIST of PHILIPPINES,,12 PATROL,,38,0.06 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,PARTY LIST of PHILIPPINES,,13 JUAN PINOY,,44,0.07 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,PARTY LIST of PHILIPPINES,,14 ARTE,,13,0.02 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,PARTY LIST of PHILIPPINES,,15 WIFI,,178,0.29 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,PARTY LIST of PHILIPPINES,,16 MAAGAP,,43,0.07 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,PARTY LIST of PHILIPPINES,,17 UNITED SENIOR CITIZENS,,2774,4.56 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,PARTY LIST of PHILIPPINES,,18 EPANAW SAMBAYANAN,,93,0.15 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,PARTY LIST of PHILIPPINES,,19 AKO PADAYON,,9,0.01 %
REGION IV-B,ORIENTAL MINDORO,CITY OF CALAPAN,PARTY LIST of PHILIPPINES,,20 TUCP,,35,0.06 %
