region,province,city,position,rank,candidate_name,party,votes,percentage
REGION II,CAGAYAN,APARRI,SENATOR,1,"ABALOS, BENHUR",PFP,7052,3.2 %
REGION II,CAGAYAN,APARRI,SENATOR,2,"ADONIS, JEROME",MKBYN,380,0.17 %
REGION II,CAGAYAN,APARRI,SENATOR,3,"AMAD, WILSON",IND,320,0.15 %
REGION II,CAGAYAN,APARRI,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,396,0.18 %
REGION II,CAGAYAN,APARRI,SENATOR,5,"AQUINO, BAM",KNP,9376,4.26 %
REGION II,CAGAYAN,APARRI,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,1584,0.72 %
REGION II,CAGAYAN,APARRI,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,583,0.26 %
REGION II,CAGAYAN,APARRI,SENATOR,8,"BALLON, ROBERTO",IND,1095,0.5 %
REGION II,CAGAYAN,APARRI,SENATOR,9,"BINAY, ABBY",NPC,8535,3.88 %
REGION II,CAGAYAN,APARRI,SENATOR,10,"BONDOC, JIMMY",PDPLBN,1199,0.54 %
REGION II,CAGAYAN,APARRI,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,10142,4.61 %
REGION II,CAGAYAN,APARRI,SENATOR,12,"BOSITA, COLONEL",IND,4397,2 %
REGION II,CAGAYAN,APARRI,SENATOR,13,"BROSAS, ARLENE",MKBYN,1774,0.81 %
REGION II,CAGAYAN,APARRI,SENATOR,14,"CABONEGRO, ROY",DPP,181,0.08 %
REGION II,CAGAYAN,APARRI,SENATOR,15,"CAPUYAN, ALLEN",PPP,280,0.13 %
REGION II,CAGAYAN,APARRI,SENATOR,16,"CASIÑO, TEDDY",MKBYN,1723,0.78 %
REGION II,CAGAYAN,APARRI,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,1659,0.75 %
REGION II,CAGAYAN,APARRI,SENATOR,18,"CAYETANO, PIA",NP,8966,4.07 %
REGION II,CAGAYAN,APARRI,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,290,0.13 %
REGION II,CAGAYAN,APARRI,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,1006,0.46 %
REGION II,CAGAYAN,APARRI,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,1732,0.79 %
REGION II,CAGAYAN,APARRI,SENATOR,22,"DELA ROSA, BATO",PDPLBN,6420,2.92 %
REGION II,CAGAYAN,APARRI,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,314,0.14 %
REGION II,CAGAYAN,APARRI,SENATOR,24,"ESCOBAL, ARNEL",PM,463,0.21 %
REGION II,CAGAYAN,APARRI,SENATOR,25,"ESPIRITU, LUKE",PLM,2576,1.17 %
REGION II,CAGAYAN,APARRI,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,455,0.21 %
REGION II,CAGAYAN,APARRI,SENATOR,27,"GAMBOA, MARC LOUIE",IND,277,0.13 %
REGION II,CAGAYAN,APARRI,SENATOR,28,"GO, BONG GO",PDPLBN,10053,4.57 %
REGION II,CAGAYAN,APARRI,SENATOR,29,"GONZALES, NORBERTO",PDSP,494,0.22 %
REGION II,CAGAYAN,APARRI,SENATOR,30,"HINLO, JAYVEE",PDPLBN,576,0.26 %
REGION II,CAGAYAN,APARRI,SENATOR,31,"HONASAN, GRINGO",RP,5076,2.31 %
REGION II,CAGAYAN,APARRI,SENATOR,32,"JOSE, RELLY JR.",KBL,264,0.12 %
REGION II,CAGAYAN,APARRI,SENATOR,33,"LACSON, PING",IND,11217,5.1 %
REGION II,CAGAYAN,APARRI,SENATOR,34,"LAMBINO, RAUL",PDPLBN,705,0.32 %
REGION II,CAGAYAN,APARRI,SENATOR,35,"LAPID, LITO",NPC,11686,5.31 %
REGION II,CAGAYAN,APARRI,SENATOR,36,"LEE, MANOY WILBERT",AKSYON,312,0.14 %
REGION II,CAGAYAN,APARRI,SENATOR,37,"LIDASAN, AMIRAH",MKBYN,196,0.09 %
REGION II,CAGAYAN,APARRI,SENATOR,38,"MARCOLETA, RODANTE",IND,4577,2.08 %
REGION II,CAGAYAN,APARRI,SENATOR,39,"MARCOS, IMEE R.",NP,12742,5.79 %
REGION II,CAGAYAN,APARRI,SENATOR,40,"MARQUEZ, NORMAN",IND,536,0.24 %
REGION II,CAGAYAN,APARRI,SENATOR,41,"MARTINEZ, ERIC",IND,360,0.16 %
REGION II,CAGAYAN,APARRI,SENATOR,42,"MATA, DOC MARITES",IND,747,0.34 %
REGION II,CAGAYAN,APARRI,SENATOR,43,"MATULA, ATTY. SONNY",WPP,1459,0.66 %
REGION II,CAGAYAN,APARRI,SENATOR,44,"MAZA, LIZA",MKBYN,1578,0.72 %
REGION II,CAGAYAN,APARRI,SENATOR,45,"MENDOZA, HEIDI",IND,3737,1.7 %
REGION II,CAGAYAN,APARRI,SENATOR,46,"MONTEMAYOR, JOEY",IND,307,0.14 %
REGION II,CAGAYAN,APARRI,SENATOR,47,"MUSTAPHA, SUBAIR",WPP,116,0.05 %
REGION II,CAGAYAN,APARRI,SENATOR,48,"OLIVAR, JOSE JESSIE",IND,319,0.14 %
REGION II,CAGAYAN,APARRI,SENATOR,49,"ONG, DOC WILLIE",AKSYON,3525,1.6 %
REGION II,CAGAYAN,APARRI,SENATOR,50,"PACQUIAO, MANNY PACMAN",PFP,5743,2.61 %
REGION II,CAGAYAN,APARRI,SENATOR,51,"PANGILINAN, KIKO",LP,8028,3.65 %
REGION II,CAGAYAN,APARRI,SENATOR,52,"QUERUBIN, ARIEL PORFIRIO",NP,2050,0.93 %
REGION II,CAGAYAN,APARRI,SENATOR,53,"QUIBOLOY, APOLLO",IND,778,0.35 %
REGION II,CAGAYAN,APARRI,SENATOR,54,"RAMOS, DANILO",MKBYN,1793,0.81 %
REGION II,CAGAYAN,APARRI,SENATOR,55,"REVILLAME, WILLIE WIL",IND,5784,2.63 %
REGION II,CAGAYAN,APARRI,SENATOR,56,"RODRIGUEZ, ATTY. VIC",IND,1754,0.8 %
REGION II,CAGAYAN,APARRI,SENATOR,57,"SAHIDULLA, NUR-ANA",IND,120,0.05 %
REGION II,CAGAYAN,APARRI,SENATOR,58,"SALVADOR, PHILLIP IPE",PDPLBN,2680,1.22 %
REGION II,CAGAYAN,APARRI,SENATOR,59,"SOTTO, TITO",NPC,12002,5.45 %
REGION II,CAGAYAN,APARRI,SENATOR,60,"TAPADO, MICHAEL BONGBONG",PM,300,0.14 %
REGION II,CAGAYAN,APARRI,SENATOR,61,"TOLENTINO, FRANCIS TOL",PFP,4285,1.95 %
REGION II,CAGAYAN,APARRI,SENATOR,62,"TULFO, BEN BITAG",IND,8705,3.96 %
REGION II,CAGAYAN,APARRI,SENATOR,63,"TULFO, ERWIN",LAKAS,11878,5.4 %
REGION II,CAGAYAN,APARRI,SENATOR,64,"VALBUENA, MAR MANIBELA",IND,234,0.11 %
REGION II,CAGAYAN,APARRI,SENATOR,65,"VERCELES, LEANDRO",IND,102,0.05 %
REGION II,CAGAYAN,APARRI,SENATOR,66,"VILLAR, CAMILLE",NP,10081,4.58 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,1 4PS,,1553,6.54 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,2 PPP,,28,0.12 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,3 FPJ PANDAY BAYANIHAN,,255,1.07 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,4 KABATAAN,,263,1.11 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,5 DUTERTE YOUTH,,404,1.7 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,6 ML,,191,0.8 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,7 PBBM,,287,1.21 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,8 P3PWD,,74,0.31 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,9 MURANG KURYENTE,,160,0.67 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,10 BICOL SARO,,22,0.09 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,11 IPATUPAD,,30,0.13 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,12 PATROL,,12,0.05 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,13 JUAN PINOY,,13,0.05 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,14 ARTE,,12,0.05 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,15 WIFI,,49,0.21 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,16 MAAGAP,,39,0.16 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,17 UNITED SENIOR CITIZENS,,644,2.71 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,18 EPANAW SAMBAYANAN,,15,0.06 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,19 AKO PADAYON,,14,0.06 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,20 TUCP,,11,0.05 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,21 ACT TEACHERS,,340,1.43 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,22 1PACMAN,,45,0.19 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,23 TGP,,51,0.21 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,24 DUMPER PTDA,,6,0.03 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,25 ANAKALUSUGAN,,9,0.04 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,26 AKSYON DAPAT,,40,0.17 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,27 BHW,,79,0.33 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,28 SULONG DIGNIDAD,,4,0.02 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,29 BATANG QUIAPO,,48,0.2 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,30 PBA,,4,0.02 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,31 GILAS,,7,0.03 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,32 AKO ILOCANO AKO,,726,3.06 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,33 PAMILYANG MAGSASAKA,,206,0.87 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,34 CLICK PARTY,,1,0 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,35 ABANTE BISDAK,,19,0.08 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,36 MANILA TEACHERS,,1962,8.26 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,37 PAMANA,,24,0.1 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,38 NANAY,,9,0.04 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,39 KM NGAYON NA,,5,0.02 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,40 BABAE AKO,,89,0.37 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,41 ARISE,,7,0.03 %
REGION II,CAGAYAN,APARRI,PARTY LIST,,42 MAGDALO,,36,0.15 %
