region,province,city,position,rank,candidate_name,party,votes,percentage
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,1519,3.2 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,62,0.13 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,82,0.17 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,71,0.15 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,2278,4.79 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,191,0.4 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,140,0.29 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,154,0.32 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,1857,3.91 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,214,0.45 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,2836,5.97 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,801,1.69 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,213,0.45 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,30,0.06 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,60,0.13 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,164,0.35 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,224,0.47 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,2197,4.62 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,34,0.07 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,139,0.29 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,203,0.43 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,1493,3.14 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,56,0.12 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,79,0.17 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,325,0.68 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,80,0.17 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,57,0.12 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,2747,5.78 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,79,0.17 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,110,0.23 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,736,1.55 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,SANTA MARCELA,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,69,0.15 %
